optype,opset,inputs,outputs,attr1,attr1,attr1,attr2,attr2,attr2,attr3,attr3,attr3,attr4,attr4,attr4,attr5,attr5,attr5,attr6,attr6,attr6,attr7,attr7,attr7,attr8,attr8,attr8,attr9,attr9,attr9,attr10,attr10,attr10
op_type,opset,inputs,outputs,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default
QLinearConv,10,9,1,auto_pad,str,NOTSET,dilations,int64[],,group,int64,1,kernel_shape,int64[],,pads,int64[],,strides,int64[],,,,,,,,,,,,,
QLinearMatMul,10,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuantizeLinear,13,3,1,axis,int64,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuantizeLinear,10,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNN,14,6,2,activation_alpha,float32[],,activation_beta,float32[],,activations,str[],"['Tanh', 'Tanh']",clip,float32,,direction,str,forward,hidden_size,int64,,output_sequence,int64,0,layout,int64,0,,,,,,
RNN,7,6,2,activation_alpha,float32[],,activation_beta,float32[],,activations,str[],"['Tanh', 'Tanh']",clip,float32,,direction,str,forward,hidden_size,int64,,output_sequence,int64,0,,,,,,,,,
RNN,1,6,2,activation_alpha,float32[],,activation_beta,float32[],,activations,str[],"['Tanh', 'Tanh']",clip,float32,,direction,str,forward,hidden_size,int64,,output_sequence,int64,0,,,,,,,,,
RandomNormal,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RandomNormalLike,1,1,1,dtype,int64,,mean,float32,0,scale,float32,1,seed,float32,,,,,,,,,,,,,,,,,,,
RandomUniform,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RandomUniformLike,1,1,1,dtype,int64,,high,float32,1,low,float32,0,seed,float32,,,,,,,,,,,,,,,,,,,
Reciprocal,13,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reciprocal,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reciprocal,1,1,1,consumed_inputs,int64[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReduceL1,13,1,1,axes,int64[],,keepdims,int64,1,,,,,,,,,,,,,,,,,,,,,,,,
ReduceL1,11,1,1,axes,int64[],,keepdims,int64,1,,,,,,,,,,,,,,,,,,,,,,,,
ReduceL1,1,1,1,axes,int64[],,keepdims,int64,1,,,,,,,,,,,,,,,,,,,,,,,,
ReduceL2,13,1,1,axes,int64[],,keepdims,int64,1,,,,,,,,,,,,,,,,,,,,,,,,
ReduceL2,11,1,1,axes,int64[],,keepdims,int64,1,,,,,,,,,,,,,,,,,,,,,,,,
ReduceL2,1,1,1,axes,int64[],,keepdims,int64,1,,,,,,,,,,,,,,,,,,,,,,,,
ReduceLogSum,13,1,1,axes,int64[],,keepdims,int64,1,,,,,,,,,,,,,,,,,,,,,,,,
ReduceLogSum,11,1,1,axes,int64[],,keepdims,int64,1,,,,,,,,,,,,,,,,,,,,,,,,
ReduceLogSum,1,1,1,axes,int64[],,keepdims,int64,1,,,,,,,,,,,,,,,,,,,,,,,,
ReduceLogSumExp,13,1,1,axes,int64[],,keepdims,int64,1,,,,,,,,,,,,,,,,,,,,,,,,
ReduceLogSumExp,11,1,1,axes,int64[],,keepdims,int64,1,,,,,,,,,,,,,,,,,,,,,,,,
ReduceLogSumExp,1,1,1,axes,int64[],,keepdims,int64,1,,,,,,,,,,,,,,,,,,,,,,,,
ReduceMax,13,1,1,axes,int64[],,keepdims,int64,1,,,,,,,,,,,,,,,,,,,,,,,,
ReduceMax,12,1,1,axes,int64[],,keepdims,int64,1,,,,,,,,,,,,,,,,,,,,,,,,
ReduceMax,11,1,1,axes,int64[],,keepdims,int64,1,,,,,,,,,,,,,,,,,,,,,,,,
ReduceMax,1,1,1,axes,int64[],,keepdims,int64,1,,,,,,,,,,,,,,,,,,,,,,,,
ReduceMean,13,1,1,axes,int64[],,keepdims,int64,1,,,,,,,,,,,,,,,,,,,,,,,,
ReduceMean,11,1,1,axes,int64[],,keepdims,int64,1,,,,,,,,,,,,,,,,,,,,,,,,
ReduceMean,1,1,1,axes,int64[],,keepdims,int64,1,,,,,,,,,,,,,,,,,,,,,,,,
ReduceMin,13,1,1,axes,int64[],,keepdims,int64,1,,,,,,,,,,,,,,,,,,,,,,,,
ReduceMin,12,1,1,axes,int64[],,keepdims,int64,1,,,,,,,,,,,,,,,,,,,,,,,,
ReduceMin,11,1,1,axes,int64[],,keepdims,int64,1,,,,,,,,,,,,,,,,,,,,,,,,
ReduceMin,1,1,1,axes,int64[],,keepdims,int64,1,,,,,,,,,,,,,,,,,,,,,,,,
ReduceProd,13,1,1,axes,int64[],,keepdims,int64,1,,,,,,,,,,,,,,,,,,,,,,,,
ReduceProd,11,1,1,axes,int64[],,keepdims,int64,1,,,,,,,,,,,,,,,,,,,,,,,,
ReduceProd,1,1,1,axes,int64[],,keepdims,int64,1,,,,,,,,,,,,,,,,,,,,,,,,
ReduceSum,13,1,1,axes,int64[],,keepdims,int64,1,,,,,,,,,,,,,,,,,,,,,,,,
ReduceProd,11,1,1,axes,int64[],,keepdims,int64,1,,,,,,,,,,,,,,,,,,,,,,,,
ReduceProd,1,1,1,axes,int64[],,keepdims,int64,1,,,,,,,,,,,,,,,,,,,,,,,,
ReduceSumSquare,13,1,1,axes,int64[],,keepdims,int64,1,,,,,,,,,,,,,,,,,,,,,,,,
ReduceSumSquare,11,1,1,axes,int64[],,keepdims,int64,1,,,,,,,,,,,,,,,,,,,,,,,,
ReduceSumSquare,1,1,1,axes,int64[],,keepdims,int64,1,,,,,,,,,,,,,,,,,,,,,,,,
Relu,14,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relu,13,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relu,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relu,1,1,1,consumed_inputs,int64[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reshape,14,2,1,allowzero,int64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reshape,13,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reshape,5,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reshape,1,1,1,consumed_inputs,int64[],,shape,int64[],,,,,,,,,,,,,,,,,,,,,,,,,
Resize,13,4,1,coordinate_transformation_mode,str,half_pixel,cubic_coeff_a,float32,-0.75,exclude_outside,int64,0,extrapolation_value,float32,0,mode,str,nearest,nearest_mode,str,round_prefer_floor,,,,,,,,,,,,
Resize,11,4,1,coordinate_transformation_mode,str,half_pixel,cubic_coeff_a,float32,-0.75,exclude_outside,int64,0,extrapolation_value,float32,0,mode,str,nearest,nearest_mode,str,round_prefer_floor,,,,,,,,,,,,
Resize,10,2,1,mode,str,nearest,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReverseSequence,10,2,1,batch_axis,int64,1,time_axis,int64,0,,,,,,,,,,,,,,,,,,,,,,,,
RoiAlign,16,3,1,coordinate_transformation_mode,str,half_pixel,mode,str,avg,output_height,int64,1,output_width,int64,1,sampling_ratio,int64,0,spatial_scale,float32,1,,,,,,,,,,,,
RoiAlign,10,3,1,mode,str,avg,output_height,int64,1,output_width,int64,1,sampling_ratio,int64,0,spatial_scale,float32,1,,,,,,,,,,,,,,,
Round,11,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scan,16,inf,inf,body,graph,,num_scan_inputs,int64,,scan_input_axes,int64[],,scan_input_directions,int64[],,scan_output_axes,int64[],,scan_output_directions,int64[],,,,,,,,,,,,,
Scan,11,inf,inf,body,graph,,num_scan_inputs,int64,,scan_input_axes,int64[],,scan_input_directions,int64[],,scan_output_axes,int64[],,scan_output_directions,int64[],,,,,,,,,,,,,
Scan,9,inf,inf,body,graph,,num_scan_inputs,int64,,scan_input_axes,int64[],,scan_input_directions,int64[],,scan_output_axes,int64[],,scan_output_directions,int64[],,,,,,,,,,,,,
Scan,8,inf,inf,body,graph,,directions,int64[],,num_scan_inputs,int64,,,,,,,,,,,,,,,,,,,,,,
ScatterElements,16,3,1,axis,int64,0,reduction,str,none,,,,,,,,,,,,,,,,,,,,,,,,
ScatterElements,13,3,1,axis,int64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ScatterElements,11,3,1,axis,int64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ScatterND,16,3,1,reduction,str,none,,,,,,,,,,,,,,,,,,,,,,,,,,,
ScatterND,13,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ScatterND,11,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selu,6,1,1,alpha,float32,1.6732,gamma,float32,1.0507,,,,,,,,,,,,,,,,,,,,,,,,
Selu,1,1,1,alpha,float32,1.6732,consumed_inputs,int64[],,gamma,float32,1.0507,,,,,,,,,,,,,,,,,,,,,
SequenceAt,11,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SequenceConstruct,11,inf,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SequenceEmpty,11,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SequenceErase,11,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SequenceInsert,11,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SequenceLength,11,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shape,15,1,1,end,int64,,start,int64,0,,,,,,,,,,,,,,,,,,,,,,,,
Shape,13,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shape,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shrink,9,1,1,bias,float32,0,lambd,float32,0.5,,,,,,,,,,,,,,,,,,,,,,,,
Sigmoid,13,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sigmoid,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sigmoid,1,1,1,consumed_inputs,int64[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sign,13,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sign,9,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sin,7,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinh,9,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Size,13,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Size,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slice,13,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slice,11,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slice,10,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slice,1,1,1,axes,int64[],,ends,int64[],,starts,int64[],,,,,,,,,,,,,,,,,,,,,,
Softplus,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Softsign,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpaceToDepth,13,1,1,blocksize,int64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpaceToDepth,1,1,1,blocksize,int64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Split,13,2,inf,axis,int64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Split,11,1,inf,axis,int64,0,split,int64[],,,,,,,,,,,,,,,,,,,,,,,,,
Split,2,1,inf,axis,int64,0,split,int64[],,,,,,,,,,,,,,,,,,,,,,,,,
Split,1,2,1,axis,int64,,split,int64[],,,,,,,,,,,,,,,,,,,,,,,,,
SplitToSequence,11,2,1,axis,int64,0,keepdims,int64,1,,,,,,,,,,,,,,,,,,,,,,,,
Sqrt,13,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sqrt,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sqrt,1,1,1,consumed_inputs,int64[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squeeze,13,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squeeze,11,1,1,axes,int64[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squeeze,1,1,1,axes,int64[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
StringNormalizer,10,1,1,case_change_action,str,NONE,is_case_sensitive,int64,0,locale,str,,stopwords,str[],,,,,,,,,,,,,,,,,,,
Sub,14,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub,13,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub,7,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub,6,2,1,axis,int64,,broadcast,int64,0,,,,,,,,,,,,,,,,,,,,,,,,
Sub,1,2,1,axis,int64,,broadcast,int64,0,consumed_inputs,int64[],,,,,,,,,,,,,,,,,,,,,,
Sum,13,inf,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum,8,inf,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum,6,inf,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum,1,inf,1,consumed_inputs,int64[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tan,7,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanh,13,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanh,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanh,1,1,1,consumed_inputs,int64[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfIdfVectorizer,9,1,1,max_gram_length,int64,,max_skip_count,int64,,min_gram_length,int64,,mode,str,,ngram_counts,int64[],,ngram_indexes,int64[],,pool_int64s,int64[],,pool_strings,str[],,weights,float32[],,,,
ThresholdedRelu,10,1,1,alpha,float32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tile,13,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tile,6,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tile,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TopK,11,2,2,axis,int64,-1,largest,int64,1,sorted,int64,1,,,,,,,,,,,,,,,,,,,,,
TopK,10,2,2,axis,int64,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
TopK,1,1,2,axis,int64,-1,k,int64,,,,,,,,,,,,,,,,,,,,,,,,,
Transpose,13,1,1,perm,int64[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transpose,1,1,1,perm,int64[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trilu,14,2,1,upper,int64,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unique,11,1,4,axis,int64,,sorted,int64,1,,,,,,,,,,,,,,,,,,,,,,,,
Unsqueeze,13,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unsqueeze,11,1,1,axes,int64[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unsqueeze,1,1,1,axes,int64[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Where,16,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Where,9,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xor,7,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xor,1,2,1,axis,int64,,broadcast,int64,0,,,,,,,,,,,,,,,,,,,,,,,,
Bernoulli,15,1,1,dtype,int64,,seed,float32,,,,,,,,,,,,,,,,,,,,,,,,,
CastLike,15,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celu,12,1,1,alpha,float32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
DynamicQuantizeLinear,11,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GreaterOrEqual,16,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GreaterOrEqual,12,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HardSwish,14,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LayerNormalization,17,3,3,axis,int64,-1,epsilon,float32,1.00E-05,stash_type,int64,1,,,,,,,,,,,,,,,,,,,,,
LessOrEqual,16,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LessOrEqual,12,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LogSoftmax,13,1,1,axis,int64,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
LogSoftmax,11,1,1,axis,int64,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
LogSoftmax,1,1,1,axis,int64,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
MeanVarianceNormalization,13,1,1,axes,int64[],"['0', '2', '3']",,,,,,,,,,,,,,,,,,,,,,,,,,,
MeanVarianceNormalization,9,1,1,axes,int64[],"['0', '2', '3']",,,,,,,,,,,,,,,,,,,,,,,,,,,
NegativeLogLikelihoodLoss,13,3,1,ignore_index,int64,,reduction,str,mean,,,,,,,,,,,,,,,,,,,,,,,,
NegativeLogLikelihoodLoss,12,3,1,ignore_index,int64,,reduction,str,mean,,,,,,,,,,,,,,,,,,,,,,,,
Range,11,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SequenceMap,17,inf,inf,body,graph,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Softmax,13,1,1,axis,int64,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Softmax,11,1,1,axis,int64,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Softmax,1,1,1,axis,int64,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
SoftmaxCrossEntropyLoss,13,3,2,ignore_index,int64,,reduction,str,mean,,,,,,,,,,,,,,,,,,,,,,,,
SoftmaxCrossEntropyLoss,12,3,2,ignore_index,int64,,reduction,str,mean,,,,,,,,,,,,,,,,,,,,,,,,
